keys,zh_CN,en
unit_0,步兵,Infantry
unit_1,弓箭手,Archer
unit_2,迫击炮,Mortar
unit_3,箭塔,Arrow Tower
unit_7,火枪手,Musketeer
unit_8,法师,Mage
unit_10,队长,Captain
unit_11,士官长,Sergeant Major
unit_12,团长,Regiment CO
unit_13,师长,Division CO
unit_14,军长,Corps CO
unit_15,司令,Commander
unit_16,大司令,Grand Commander
unit_17,统帅,Marshal
unit_18,军委司令,Commission CO
unit_19,英雄,Hero
unit_20,长弓手,Longbow
unit_21,神射手,Sharpshooter
unit_22,老练弓手,Veteran Archer
unit_23,鹰眼,Eagle Eye
unit_25,步枪手,Rifleman
unit_26,精锐步枪,Elite Rifle
unit_30,榴弹炮,Howitzer
unit_31,攻城巨炮,Siege Cannon
unit_40,重弩,Heavy Crossbow
unit_41,弩炮,Ballista
unit_50,祭司,Priest
unit_51,主教,Bishop
unit_60,监工,Overseer
unit_61,管家,Steward
unit_70,加固补给站,Fortified Depot
unit_71,大型补给站,Grand Depot
unit_80,奥术学徒,Adept
unit_81,战斗法师,War Mage
unit_82,大法师,Archmage
evolve_need_wave,该军衔需推进到第 %d 波后。,That rank unlocks from wave %d.
unit_4,牧师,Cleric
unit_5,农民,Farmer
unit_6,补给站,Supply Depot
msg_hero_cap,英雄最多同时 2 名！,Hero cap is 2!
enemy_0,小兵,Grunt
enemy_1,跑者,Runner
enemy_2,坦克,Tank
enemy_3,铁皮,Armored
enemy_4,攻城传令,Siege Herald
enemy_5,夜驿使,Night Courier
enemy_6,噬垒巨颚,Rampart Maw
enemy_7,飞翼斥候,Sky Raider
hud_money,金钱：$%d,Money: $%d
hud_supply,补给：%d/%d,Supply: %d/%d
hud_lives,大本营：%d,HQ: %d
hud_lost,战损：%d,Lost: %d
hud_wave,波次 %d/%d,Wave %d/%d
hud_start,开始波次,Start Wave
hud_cd_waves,冷却 %d 波,CD %d waves
hud_speed_1x,1 倍速,1x
hud_speed_2x,2 倍速,2x
skill_ready_text,1：火力齐射 [就绪],1: Rally Fire [READY]
skill_cd_human,1：火力齐射（%s）,1: Rally Fire (%s)
skill_cd_fungus,1：菌毯沸腾（%s）,1: Carpet Fever (%s)
skill_cd_silicon,1：晶化凝固（%s）,1: Crystal Freeze (%s)
skill_cd_dragon,1：龙焰吐息（%s）,1: Dragon Breath (%s)
skill_cd_text,1：技能（%s）,1: Skill (%s)
hud_evolve,升军衔,Rank up
hud_evolve_cost,升军衔 $%d,Rank $%d
hud_evolve_max,军衔已满,Rank max
hud_sell,出售,Sell
hud_sell_cost,出售 $%d,Sell $%d
hud_restart,重新开始,Restart
hud_ready,就绪,Ready
msg_intro,召唤单位守住路径，然后点击「开始波次」！,Summon units to block the path then Start Wave!
msg_intro_human,先建补给站与农民。编制：步兵、弓箭手、箭塔、法师（群体AOE）、牧师（可升军衔）。点大本营选科技方向——升科技强化全族相关兵；军衔只升单兵。英雄最多 2 名。,Depot+farmers. Roster: infantry, archer, arrow tower, mage (AOE), cleric (ranks). HQ tech buffs all related units; ranks upgrade one unit. Max 2 heroes.
msg_intro_fungus,布置蘑菇后菌丝蔓延。1：菌毯沸腾  2：孢子爆发传染链！,Place mushrooms — mycelium spreads. 1: Carpet Fever  2: Spore Burst!
msg_intro_dragon,只能召唤幼龙/龙人（最多 4 只），点单位可进化→亚龙→成龙。1：龙焰吐息！,Buy whelps/dragonkin only (max 4). Evolve to Drake then Dragon. 1: Breath!
msg_intro_silicon,连晶脉攒晶能。1：晶化凝固（冻怪）  2：共振脉冲！,Link crystals for energy. 1: Freeze  2: Resonate!
msg_summon_hint,点击空地召唤「%s」（右键或 ESC 取消）,Click grass to summon %s (right-click or ESC to cancel)
msg_summoned,已召唤：%s,Summoned %s
msg_no_money,金钱不足！,Not enough money!
msg_no_supply,补给不足！建补给站并让农民进站生产。,Not enough supply! Build a depot and send farmers in.
msg_supply_full,补给已满（库存上限）！,Supply full (inventory cap)!
msg_farmer_cap,农民最多 4 名！,Farmer cap is 4!
msg_depot_cap,补给站最多 3 座！,Depot cap is 3!
msg_no_place,这里不能召唤！,Can't summon here!
msg_no_money_evolve,金钱不足，无法进化！,Not enough money to evolve!
msg_sold,已出售，回收 $%d,Sold for $%d
msg_skill_wave_only,技能只能在波次进行中使用！,Skill usable during a wave only!
msg_skill_cd,技能冷却中（第 %d 波就绪）,Skill recharging (ready at wave %d)
msg_rally,火力齐射！全军攻速 +50%，持续 8 秒。,RALLY FIRE! Attack speed +50% for 8s.
msg_wave_incoming,第 %d 波来袭！,Wave %d incoming!
msg_wave_armored,第 4 波：铁皮来了！近战刮不动——上弓箭/法师AOE，牧师耗蓝抬血。,Wave 4: Armored! Melee is weak — archers/mage AOE. Cleric heals with mana.
msg_wave_incoming_armored,第 %d 波来袭（含铁皮）！,Wave %d incoming (Armored inside)!
stat_hp,生命,HP
stat_title,%s（%s %d/%d）,%s (%s %d/%d)
stat_line,段 %d｜速度 %d｜伤害 %.0f｜攻速 %.1f,Seg %d | Spd %d | Dmg %.0f | Rate %.1f
stat_line_fungus,代数 %d｜伤害 %.1f｜攻速 %.1f,Gen %d | Dmg %.1f | Rate %.1f
stat_line_enemy,速度 %d｜攻击 %.0f｜间隔 %.1fs｜赏金 %d,Spd %d | Atk %.0f | Interval %.1fs | Gold %d
stat_next_rank,下一军衔：%s,Next rank: %s
hud_evolve_to,升→%s $%d,Rank→%s $%d
stat_line_healer,蓝 %d/%d｜治疗 %.0f｜耗蓝 %.0f,MP %d/%d | Heal %.0f | Cost %.0f
stat_line_farmer,进补给站后生产补给（站外不产）,Works only inside a Supply Depot
stat_line_depot,站内存货 %d/%d（清波补满）,Depot stock %d/%d (refill on clear)
hud_split,分裂,Split
msg_split,%s 已分裂！,%s split!
msg_split_max,已达最大分裂代数！,Max split generation reached!
msg_split_no_place,附近没有空地分裂！,No space nearby to split!
msg_evolved,%s 已进化！,%s evolved!
overlay_game_over,游戏结束,Game Over
overlay_defeat,基地在第 %d 波被摧毁，损失单位 %d 个,Your base fell at wave %d. Units lost: %d
overlay_victory,胜利！,Victory!
overlay_victory_msg,全部 %d 波已击退！剩余生命 %d，损失单位 %d,All %d waves beaten! Lives: %d | Units lost: %d
msg_wave_cleared,第 {w} 波已清理！奖励 +{b}。可继续部署，再开始下一波。,"Wave {w} cleared! Bonus +{b}. Keep deploying, then next wave."
menu_title,活体防线,The Living Rampart
menu_start,开始游戏,Start Game
menu_language,语言：%s,Language: %s
lang_zh,中文,Chinese
lang_en,英文,English
menu_quit,退出游戏,Quit
